Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
China,1960,2006,6,4,Area Harvested,4,(1000 HA),5225
China,1960,2006,6,184,Yield,29,(KG/HA),204
China,1961,2006,6,4,Area Harvested,4,(1000 HA),3870
China,1961,2006,6,184,Yield,29,(KG/HA),208
China,1962,2006,6,4,Area Harvested,4,(1000 HA),3497
China,1962,2006,6,184,Yield,29,(KG/HA),212
China,1963,2006,6,4,Area Harvested,4,(1000 HA),4409
China,1963,2006,6,184,Yield,29,(KG/HA),272
China,1964,2006,6,4,Area Harvested,4,(1000 HA),4935
China,1964,2006,6,184,Yield,29,(KG/HA),335
China,1965,2006,6,4,Area Harvested,4,(1000 HA),5003
China,1965,2006,6,184,Yield,29,(KG/HA),418
China,1966,2006,6,4,Area Harvested,4,(1000 HA),4925
China,1966,2006,6,184,Yield,29,(KG/HA),473
China,1967,2006,6,4,Area Harvested,4,(1000 HA),5098
China,1967,2006,6,184,Yield,29,(KG/HA),461
China,1968,2006,6,4,Area Harvested,4,(1000 HA),4986
China,1968,2006,6,184,Yield,29,(KG/HA),472
China,1969,2006,6,4,Area Harvested,4,(1000 HA),4829
China,1969,2006,6,184,Yield,29,(KG/HA),431
China,1970,2006,6,4,Area Harvested,4,(1000 HA),4997
China,1970,2006,6,184,Yield,29,(KG/HA),458
China,1971,2006,6,4,Area Harvested,4,(1000 HA),4923
China,1971,2006,6,184,Yield,29,(KG/HA),429
China,1972,2006,6,4,Area Harvested,4,(1000 HA),4896
China,1972,2006,6,184,Yield,29,(KG/HA),400
China,1973,2006,6,4,Area Harvested,4,(1000 HA),4942
China,1973,2006,6,184,Yield,29,(KG/HA),515
China,1974,2006,6,4,Area Harvested,4,(1000 HA),5013
China,1974,2006,6,184,Yield,29,(KG/HA),491
China,1975,2006,6,4,Area Harvested,4,(1000 HA),4955
China,1975,2006,6,184,Yield,29,(KG/HA),479
China,1976,2006,6,4,Area Harvested,4,(1000 HA),4929
China,1976,2006,6,184,Yield,29,(KG/HA),420
China,1977,2006,6,4,Area Harvested,4,(1000 HA),4845
China,1977,2006,6,184,Yield,29,(KG/HA),422
China,1978,2006,6,4,Area Harvested,4,(1000 HA),4867
China,1978,2006,6,184,Yield,29,(KG/HA),445
China,1979,2006,6,4,Area Harvested,4,(1000 HA),4512
China,1979,2006,6,184,Yield,29,(KG/HA),487
China,1980,2006,6,4,Area Harvested,4,(1000 HA),4920
China,1980,2006,6,184,Yield,29,(KG/HA),549
China,1981,2006,6,4,Area Harvested,4,(1000 HA),5185
China,1981,2006,6,184,Yield,29,(KG/HA),571
China,1982,2006,6,4,Area Harvested,4,(1000 HA),5828
China,1982,2006,6,184,Yield,29,(KG/HA),616
China,1983,2006,6,4,Area Harvested,4,(1000 HA),6077
China,1983,2006,6,184,Yield,29,(KG/HA),763
China,1984,2006,6,4,Area Harvested,4,(1000 HA),6923
China,1984,2006,6,184,Yield,29,(KG/HA),903
China,1985,2006,6,4,Area Harvested,4,(1000 HA),5140
China,1985,2006,6,184,Yield,29,(KG/HA),805
China,1986,2006,6,4,Area Harvested,4,(1000 HA),4306
China,1986,2006,6,184,Yield,29,(KG/HA),824
China,1987,2006,6,4,Area Harvested,4,(1000 HA),4844
China,1987,2006,6,184,Yield,29,(KG/HA),876
China,1988,2006,6,4,Area Harvested,4,(1000 HA),5535
China,1988,2006,6,184,Yield,29,(KG/HA),751
China,1989,2006,6,4,Area Harvested,4,(1000 HA),5203
