Country_Name,Market_Year,Value(KG/HA)
China,1960,204
China,1961,208
China,1962,212
China,1963,272
China,1964,335
China,1965,418
China,1966,473
China,1967,461
China,1968,472
China,1969,431
China,1970,458
China,1971,429
China,1972,400
China,1973,515
China,1974,491
China,1975,479
China,1976,420
China,1977,422
China,1978,445
China,1979,487
China,1980,549
China,1981,571
China,1982,616
China,1983,763
China,1984,903
China,1985,805
China,1986,824
China,1987,876
China,1988,751
China,1989,728
China,1990,807
China,1991,869
China,1992,659
China,1993,749
China,1994,784
China,1995,879
China,1996,890
China,1997,1023
China,1998,1011
China,1999,1028
China,2000,1089
China,2001,1102
China,2002,1219
China,2003,978
China,2004,1118
China,2005,1156
China,2006,1299
China,2007,1299
China,2008,1321
China,2009,1315
China,2010,1265
China,2011,1346
China,2012,1438
China,2013,1486
China,2014,1484
China,2015,1580
China,2016,1614
India,1960,134
India,1961,112
India,1962,141
India,1963,134
India,1964,123
India,1965,121
India,1966,122
India,1967,141
India,1968,136
India,1969,135
India,1970,127
India,1971,162
India,1972,147
India,1973,143
India,1974,159
India,1975,154
India,1976,147
India,1977,156
India,1978,166
India,1979,168
India,1980,169
India,1981,177
India,1982,187
India,1983,173
India,1984,247
India,1985,261
India,1986,227
India,1987,240
India,1988,244
India,1989,313
India,1990,267
India,1991,264
India,1992,311
India,1993,287
India,1994,309
India,1995,318
India,1996,332
India,1997,302
India,1998,302
India,1999,302
India,2000,278
India,2001,307
India,2002,301
India,2003,399
India,2004,471
India,2005,467
India,2006,534
India,2007,570
India,2008,539
India,2009,517
India,2010,532
India,2011,518
India,2012,517
India,2013,577
India,2014,506
India,2015,490
India,2016,517
United States,1960,500
United States,1961,492
United States,1962,512
United States,1963,579
United States,1964,580
United States,1965,590
United States,1966,538
United States,1967,501
United States,1968,579
United States,1969,486
United States,1970,492
United States,1971,491
United States,1972,568
United States,1973,583
United States,1974,494
United States,1975,508
United States,1976,522
United States,1977,583
United States,1978,471
United States,1979,613
United States,1980,453
United States,1981,608
United States,1982,661
United States,1983,569
United States,1984,673
United States,1985,706
United States,1986,618
United States,1987,792
United States,1988,694
United States,1989,688
United States,1990,711
United States,1991,731
United States,1992,785
United States,1993,679
United States,1994,794
United States,1995,602
United States,1996,791
United States,1997,754
United States,1998,701
United States,1999,680
United States,2000,708
United States,2001,790
United States,2002,746
United States,2003,818
United States,2004,958
United States,2005,931
United States,2006,912
United States,2007,985
United States,2008,912
United States,2009,870
United States,2010,910
United States,2011,886
United States,2012,999
United States,2013,921
United States,2014,939
United States,2015,859
United States,2016,905
